Year,maxT much above normal,maxT much below normal,minT much above normal,minT much below normal,precip much above normal,precip much below normal,Season,Region
1911,1.0,0.0,0.0,1.8,0.0,56.1,Winter,Southeast
1912,0.0,38.3,0.0,15.0,11.0,5.1,Winter,Southeast
1913,13.0,0.0,20.7,0.0,8.4,10.6,Winter,Southeast
1914,0.0,0.9,0.0,0.0,3.0,14.2,Winter,Southeast
1915,0.0,43.0,0.0,0.0,21.6,5.2,Winter,Southeast
1916,1.9,0.0,0.0,0.0,2.6,31.8,Winter,Southeast
1917,0.3,0.0,0.0,0.1,11.9,7.4,Winter,Southeast
1918,0.0,61.8,0.0,70.3,0.0,11.2,Winter,Southeast
1919,0.0,3.1,0.0,0.0,12.2,2.2,Winter,Southeast
1920,0.0,8.2,0.0,13.4,2.6,15.3,Winter,Southeast
1921,0.1,0.0,0.1,0.0,2.7,2.6,Winter,Southeast
1922,6.4,0.0,18.2,0.0,4.8,7.1,Winter,Southeast
1923,15.5,0.0,8.9,0.0,9.1,14.1,Winter,Southeast
1924,0.0,0.0,0.0,0.1,7.8,9.7,Winter,Southeast
1925,0.7,0.0,1.2,0.0,5.4,0.0,Winter,Southeast
1926,0.0,0.7,0.0,0.0,0.0,9.8,Winter,Southeast
1927,54.5,0.0,29.7,0.0,9.2,16.8,Winter,Southeast
1928,0.0,1.8,0.0,0.0,0.0,17.1,Winter,Southeast
1929,0.0,0.0,0.0,0.0,2.6,5.2,Winter,Southeast
1930,1.9,0.0,0.0,0.0,0.0,10.2,Winter,Southeast
1931,0.0,20.5,0.0,8.5,2.6,29.5,Winter,Southeast
1932,100.0,0.0,99.9,0.0,38.5,2.5,Winter,Southeast
1933,17.3,0.0,43.7,0.0,27.8,2.2,Winter,Southeast
1934,2.7,0.0,0.0,0.0,0.0,9.1,Winter,Southeast
1935,0.0,0.0,0.0,1.0,0.0,9.3,Winter,Southeast
1936,0.0,95.2,0.0,84.1,12.0,2.3,Winter,Southeast
1937,3.5,0.0,92.9,0.0,68.6,0.0,Winter,Southeast
1938,0.0,0.0,0.0,0.0,0.0,38.9,Winter,Southeast
1939,7.3,0.0,0.2,0.0,7.1,5.0,Winter,Southeast
1940,0.0,95.6,0.0,91.2,0.0,4.5,Winter,Southeast
1941,0.0,0.0,0.0,0.0,2.5,16.1,Winter,Southeast
1942,0.0,0.3,0.0,0.6,4.9,22.7,Winter,Southeast
1943,0.3,0.0,0.0,0.0,0.0,7.1,Winter,Southeast
1944,0.0,0.0,0.0,0.0,2.4,18.8,Winter,Southeast
1945,0.0,0.5,0.0,0.5,2.3,7.1,Winter,Southeast
1946,0.0,0.0,0.0,0.1,14.1,0.0,Winter,Southeast
1947,0.1,0.0,0.0,0.0,0.0,9.6,Winter,Southeast
1948,0.0,5.3,0.0,3.7,19.5,0.0,Winter,Southeast
1949,97.0,0.0,99.3,0.0,9.3,2.5,Winter,Southeast
1950,96.2,0.0,93.3,0.0,16.2,21.7,Winter,Southeast
1951,0.0,0.3,0.0,7.9,0.0,18.7,Winter,Southeast
1952,36.7,0.0,18.8,0.0,0.0,2.2,Winter,Southeast
1953,0.0,0.0,0.6,0.0,13.9,4.6,Winter,Southeast
1954,1.8,0.0,0.0,0.0,0.0,4.8,Winter,Southeast
1955,0.0,0.0,0.0,1.9,0.0,20.5,Winter,Southeast
1956,0.0,0.0,0.0,0.0,0.0,11.4,Winter,Southeast
1957,82.9,0.0,82.6,0.0,11.2,7.3,Winter,Southeast
